prompt_id,prompt_family,prompt_text
p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。
p002,zero_shot,請根據目標詞彙產生一個簡短的語意提示句，內容需具體、常見、容易理解，不可直接包含目標詞。
p003,zero_shot,請用一句生活化且明確的提示句描述目標詞彙，幫助患者聯想到答案，但不能直接說出目標詞。
p004,meta_prompt,你是一位專門設計失語症治療提示句的語言治療專家。你的任務是根據目標詞彙生成一個最有助於喚回詞彙的提示句。提示需短、自然、具體、生活化，不可直接說出目標詞。
p005,therapy_style,你是語言治療師。請為失語症患者設計一個簡短提示句，內容應聚焦在大多數人熟悉的特徵，不可直接說出目標詞。
p006,therapy_style,請產生一個適合失語症語言治療的提示句，句子需簡短、具體、常見，避免冷僻知識，且不能直接包含目標詞。
p007,category_aware,請根據目標詞彙的常見特徵產生一個提示句：若是名詞，可描述外觀、用途或類別；若是動詞，可描述動作情境。不可直接說出答案。
p008,category_aware,請生成一個簡短提示句。若是水果或蔬菜，可描述顏色、形狀、味道或吃法；若是動作，可描述常見使用情境。不可直接說出目標詞。
p009,strict_short,請只輸出一句非常簡短的提示句，內容需讓人容易聯想到目標詞，但不能直接說出目標詞。
p010,strict_short,請輸出一句簡單、具體、好理解的語意提示，聚焦在最常見的特徵，不要使用冷僻知識，也不可直接說出答案。
